Year,Avg. Pace,PLAYER,TEAM,Team Conference Rank,GP,Team GP,W,PTS,REB,AST,STL,BLK,TOV,TS%,3PM,DEFWS,USG%,PIE,Prior ASG Appearances,AS Last Year?
2019,100.3,Reggie Jackson,LAC,2,2,44,1,5.0,2.5,4.0,0.0,0.0,0.5,43.7,0.5,0.003,14.3,12.1,0,0
2019,100.3,Yogi Ferrell,SAC,13,32,43,11,5.0,1.3,1.5,0.3,0.1,0.6,54.0,0.5,0.001,17.7,9.9,0,0
2019,100.3,Jakob Poeltl,SAS,9,42,42,19,5.0,5.5,1.9,0.5,1.5,0.8,60.0,0.0,0.001,11.6,10.8,0,0
2019,100.3,Vince Carter,ATL,15,37,44,9,4.9,1.9,0.9,0.4,0.4,0.6,45.5,1.0,0.001,16.3,4.5,8,0
2019,100.3,Brandon Knight,DET,9,16,44,3,4.9,1.3,1.9,0.3,0.1,1.0,43.1,1.2,0.0,19.1,3.1,0,0
2019,100.3,Dewayne Dedmon,ATL,15,28,44,9,4.9,4.2,0.3,0.3,0.5,1.4,48.4,0.4,0.001,19.7,5.5,0,0
2019,100.3,Kadeem Allen,NYK,13,9,44,2,4.9,0.9,2.1,0.4,0.2,0.9,48.3,0.6,0.0,22.2,7.6,0,0
2019,100.3,Patrick Patterson,LAC,2,39,44,26,4.9,2.7,0.7,0.2,0.1,0.3,54.1,1.2,0.001,14.5,8.5,0,0
2019,100.3,John Henson,DET,9,21,44,6,4.9,3.8,1.4,0.6,1.2,0.7,54.6,0.1,0.001,16.5,11.9,0,0
2019,100.3,Pat Connaughton,MIL,1,41,45,37,4.8,4.1,1.7,0.3,0.5,0.8,53.2,0.6,0.002,11.9,8.9,0,0
2019,100.3,Matt Thomas,TOR,3,17,43,12,4.8,1.4,0.4,0.2,0.0,0.4,65.0,1.2,0.001,14.4,8.5,0,0
2019,100.3,Edmond Sumner,IND,6,16,44,6,4.8,1.5,1.7,0.7,0.4,0.6,50.1,0.4,0.001,16.0,5.9,0,0
2019,100.3,Wes Iwundu,ORL,7,30,44,15,4.8,2.7,1.0,0.6,0.3,0.5,47.1,0.3,0.002,13.1,5.9,0,0
2019,100.3,Kyle Anderson,MEM,8,37,43,18,4.8,3.8,2.1,0.7,0.4,0.8,50.9,0.2,0.001,13.5,9.0,0,0
2019,100.3,Daniel Gafford,CHI,10,32,45,12,4.8,2.4,0.4,0.3,1.3,0.5,66.6,0.0,0.001,13.2,8.8,0,0
2019,100.3,Jordan McLaughlin,MIN,13,9,43,3,4.8,2.0,3.1,0.8,0.0,0.7,44.2,0.8,0.001,14.3,9.2,0,0
2019,100.3,Harry Giles III,SAC,13,17,43,6,4.8,2.6,1.1,0.5,0.2,1.0,49.2,0.0,0.001,23.6,7.7,0,0
